source_row,execution_id,model,system,scenario,family,item,regime,strategy,N,outerrep,seed,metric,value,known_agent_subset_value,expected_agents,known_agents,missing_agents
3366,job_3c813f46fbcb140deee3a084f5768c40149b2648c2019588ecff4ea427b9eed4,deepseek-v4-flash-0731,expgym,tuning,nasbench101,hpobench:nasbench101:A,cost_free,single,1,0,2200,gap,99.28332342644987,99.28332342644987,,,
3376,job_ede4d6c529bf2246a634ab6dff8cdb7e04b01b20a636ed1229002b7930e187aa,deepseek-v4-flash-0731,expgym,tuning,nasbench101,hpobench:nasbench101:B,cost_free,single,1,0,2200,gap,94.79889752195012,94.79889752195012,,,
3386,job_8899ffca9b2b2682d075cf97e3950c602ba57c77a9d7691ef77f0fa784580bb0,deepseek-v4-flash-0731,expgym,tuning,nasbench101,hpobench:nasbench101:C,cost_free,single,1,0,2200,gap,98.87172661189092,98.87172661189092,,,
3396,job_12f257ef44f570fdf4aeb6037bb97a8b8b78162b85d8fdf7787666683906ba2f,deepseek-v4-flash-0731,expgym,tuning,nasbench201,hpobench:nasbench201:cifar10-valid,cost_free,single,1,0,2200,gap,82.31154476532424,82.31154476532424,,,
3406,job_c9cdee726907aaba2fd02b53ee04427c48223eb57027a023f55dcaa8b32c12af,deepseek-v4-flash-0731,expgym,tuning,nasbench201,hpobench:nasbench201:cifar100,cost_free,single,1,0,2200,gap,85.23004152984714,85.23004152984714,,,
3416,job_710ceabb09d31553e6a492b17cb9b79d086a7d47e33a9c1f2570def104563fa3,deepseek-v4-flash-0731,expgym,tuning,nasbench201,hpobench:nasbench201:imagenet16-120,cost_free,single,1,0,2200,gap,96.25384645540578,96.25384645540578,,,
3426,job_4d5b0ebf8f4fbe0a47bd219c2251b25a20c15f1e8bc5411c85916191a81f6754,deepseek-v4-flash-0731,expgym,tuning,nasbench101,hpobench:nasbench101:A,cost_moderate,single,1,0,2200,gap,93.19869576429527,93.19869576429527,,,
3437,job_8a16853d06c3d4db03f1832fa5ec0e015b442aac62183891c28cec4a0c6c339f,deepseek-v4-flash-0731,expgym,tuning,nasbench101,hpobench:nasbench101:B,cost_moderate,single,1,0,2200,gap,0.0,0.0,,,
3448,job_7f064f78cbfb39b71e0a5af9ee315c2b24fbcadc17aa20ab876e3d1587f772d7,deepseek-v4-flash-0731,expgym,tuning,nasbench101,hpobench:nasbench101:C,cost_moderate,single,1,0,2200,gap,99.16709077558693,99.16709077558693,,,
3459,job_99642750c25991a7e10204540a33fe674a8809a9c78ccf663d8d87315659e120,deepseek-v4-flash-0731,expgym,tuning,nasbench201,hpobench:nasbench201:cifar10-valid,cost_moderate,single,1,0,2200,gap,84.95811288420695,84.95811288420695,,,
3470,job_9fbf1f3031802eb280810b162754339f4b9e9f28399d5f82bfbdbbac4df15ccb,deepseek-v4-flash-0731,expgym,tuning,nasbench201,hpobench:nasbench201:cifar100,cost_moderate,single,1,0,2200,gap,100.0,100.0,,,
