slot_id,hypothesis,model,budget,strategy,metric,old,new,delta,source_sha256,old_source_sha256,new_source_sha256,source_replaced,reason
1a2023362ebc6cd31355b6c7,nda-1,glm-5.3,cost_free,single,evidence_exact,0,1,1,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,0,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,nda-1,glm-5.3,cost_free,single,evidence_precision,0.0,1.0,1.0,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,0,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,nda-1,glm-5.3,cost_free,single,evidence_recall,0.0,1.0,1.0,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,0,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,nda-1,glm-5.3,cost_free,single,exact_seen_final_wrong,1,0,-1,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,0,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,nda-1,glm-5.3,cost_free,single,final_changed_from_first,1,0,-1,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,0,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,nda-1,glm-5.3,cost_free,single,joint_correct,0,1,1,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,0,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,nda-1,glm-5.3,cost_free,single,label_correct,0,1,1,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,0,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,nda-1,glm-5.3,cost_free,single,missing_any,1,0,-1,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,0,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,nda-1,glm-5.3,cost_free,single,missing_count,1,0,-1,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,0,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,nda-1,glm-5.3,cost_free,single,overlap_count,0,1,1,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,0,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,nda-1,glm-5.3,cost_free,single,submitted_evidence_ids,[],[13],,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,0,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,nda-1,glm-5.3,cost_free,single,submitted_exactly_verified,0,1,1,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,0,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,nda-1,glm-5.3,cost_free,single,submitted_size,0,1,1,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,0,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,nda-1,glm-5.3,cost_free,single,valid_hypothesis_submission,0,1,1,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,0,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,nda-10,glm-5.3,cost_free,single,evidence_exact,0,1,1,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,0,explicit_terminal_label_selected_from_full_response
1a2023362ebc6cd31355b6c7,nda-10,glm-5.3,cost_free,single,exact_seen_final_wrong,1,0,-1,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,94161b9f21c809c6d3f3a3ade6898599a9a143d0a7f83d8ffc72b7fa8d62048e,0,explicit_terminal_label_selected_from_full_response
